keyword,frequency
perfectly,2
understandable.,2
violent,2
labor,2
repression,2
subsidizing,2
industrialists,2
expense,2
households,2
proved,2
advantageous,2
disciplined,2
relatively,2
low-cost,2
workforce,2
regardless,2
citizenship.,2
According,2
however,2
layer,2
namely,2
threatening,2
punish,2
fail,2
denounce,2
pointed,2
sophistication,2
exploits,2
cleavages,2
evidenced,2
targeting,2
retaliatory,2
regions,2
industries,2
believed,2
crucial,2
shrewd,2
silence,2
university,2
campuses,2
money.,2
MORE,2
BY,2
Students,2
walk,2
law,2
school,2
University,2
Michigan,2
Elite,2
Law,2
Schools,2
Turn,2
Conservatism,2
Can,2
Strike,2
Back,2
Deep,2
Better,2
Way,2
Absorb,2
Refugees,2
Senator,2
Elizabeth,2
Warren,2
speaks,2
event,2
introduce,2
Act,2
2017.,2
All’,2
Is,2
Fantasy,2
keeping,2
blunt,2
insistence,2
we’ve,2
coming,2
November,2
pointedly,2
me—or,2
us—to,2
ever,2
implicit,2
raised,2
Should,2
meddling,2
meddling?,2
Some,2
dismissed,2
warning,2
represents,2
distraction,2
ongoing,2
meddling.,2
Others,2
outcomes,2
character,2
ineffective,2
counterproductive,2
Rush,2
Doshi,2
D.,2
Williams,2
Brookings,2
Institution,2
cautiously,2
pursued,2
informational,2
Needless,2
dangerous,2
rivals,2
certainly,2
do.,2
age,2
intensifying,2
partisan,2
enmity,2
legitimacy,2
presidency,2
similarly,2
champion,2
fitting,2
Democrats,2
Republicans,2
bring,2
agree,2
revanchist,2
ought,2
serve,2
call,2
Harvard,2
scientist,2
Samuel,2
P.,2
gives,2
ideological,2
1997,2
bloc,2
losing,2
coherence,2
opposition,2
other.,2
republic,2
Britain,2
offered,2
necessary,2
contrast,2
lived,2
tyranny,2
hierarchy,2
enjoyed,2
equality.,2
So,2
too,2
later,2
Wilhelmine,2
Germany,2
provide,2
rivalry,2
Nazi,2
totalitarianisms,2
ravaged,2
20th,2
century.,2
Union’s,2
demise,2
therefore,2
prompted,2
kind,2
crisis.,2
divisive,2
effect,2
society,2
promote,2
weakening,2
absence,2
reverse.,2
quite,2
anticipate,2
identities—one,2
right,2
left—each,2
enemy.,2
pattern,2
obtained,2
earlier,2
eras.,2
Consider,2
founding,2
generation,2
bitterly,2
Revolutionary,2
France,2
Empire,2
represented,2
liberty.,2
1900s,2
saw,2
debates,2
Germanophiles,2
progressives,2
socialists,2
German,2
extraction,2
Anglophiles,2
embraced,2
jointly,2
administered,2
British-American,2
condominium.,2
difference,2
twilight,2
leadership,2
clashes,2
reverberate,2
finds,2
midst,2
wars.,2
To,2
geopolitical,2
adversary.,2
Even,2
impoverished,2
fear,2
deftness,2
operatives,2
connivance,2
illiberal,2
diverse,2
within.,2
Nationalist,2
graver,2
increasingly,2
wielding,2
resist,2
counter,2
depredations,2
despite,2
well,2
result.,2
imagination.,2
little,2
doubt,2
sought,2
sow,2
chaos,2
division,2
conviction,2
throughout,2
post-Soviet,2
Eurasia.,2
Though,2
extent,2
information,2
operations,2
influenced,2
presidential,2
contested,2
notion,2
played,2
decisive,2
article,2
faith,2
critics,2
Vladimir,2
perfect,2
foil.,2
ascendancy,2
rank,2
kleptocracy,2
explicit,2
deranged,2
antiliberalism,2
enemies,2
feminism.,2
author,2
Timothy,2
Snyder,2
Putinism’s,2
crusade,2
designed,2
transform,2
democracy,2
nebulous,2
innocence,2
voting,2
west,2
sodomy.,2
defining,2
sexual,2
perversion,2
own,2
regime,2
masculinity,2
traditionalism,2
sovereignty,2
conspiracy,2
dissolve,2
family.,2
short,2
rule,2
right-wing,2
populists,2
friend.,2
An,2
Putin’s,2
redouble,2
multilateral,2
nondiscriminatory,2
basis,2
marginalizing,2
conservatism,2
retrograde.,2
nato,2
shored,2
adopt,2
attitude,2
parties,2
Central,2
Eastern,2
drift,2
orbit.,2
wouldn’t,2
friend,2
light,2
civil,2
liberties,2
Communist,2
Party’s,2
stated,2
combating,2
antitrade,2
politicians,2
lend,2
certain,2
prestige,2
legitimacy.,2
Shortly,2
inauguration,2
presented,2
rules-based,2
international,2
Joint,2
Comprehensive,2
Plan,2
Action,2
Iran,2
won,2
admirers,2
circles,2
unaware,2
imprisonment,2
Uighur,2
Muslims,2
crimes.,2
Over,2
rooted,2
grow,2
explicitly,2
cater,2
cosmopolitan-liberal,2
sensibilities,2
likely.,2
irreversible,2
upper,2
hand.,2
it?,2
indication,2
comes,2
report,2
Department,2
Defense,2
details,2
growing,2
dependence,2
base,2
poses,2
country’s,2
war-fighting,2
capabilities.,2
1990s,2
2000s,2
indictment,2
statism,2
unambiguous,2
Many,2
cause,2
rethink,2
laissez-faire,2
eye,2
meeting,2
posed,2
ambitions.,2
Moscow,2
No.,2
vital,2
investment,2
human,2
capital,2
steer,2
resilient,2
supply,2
chains,2
Americas,2
heartland.,2
rival,2
suspect,2
lens,2
clearer,2
exits,2
scene.,2
Culturally,2
choosing,2
ambiguous,2
effects.,2
xenophobic,2
turn,2
immigrants,2
visitors,2
students,2
ugly,2
consequences.,2
embrace,2
grounds,2
authoritarianism,2
narrow,2
workers.,2
essence,2
whole,2
inclusive,2
government.,2
Indeed,2
address.,2
More,2
broadly,2
waging,2
somewhat,2
solidarity,2
cosmopolitanism,2
least,2
disentangling,2
entail,2
considerable,2
elite—a,2
justified,2
solidaristic,2
terms.,2
come?,2
wage,2
assiduously?,2
depend,2
small,2
guide,2
enduring.Chinese,2
Media,2
Vow,2
Fight,2
Insult’,2
Threaten,2
War’,2
8,2
Oct,2
vowed,2
weekend,2
fight,2
insults,2
promised,2
issue,2
continuing,2
produce,2
hostile,2
reports,2
speeches.,2
passive-aggressive,2
Sunday,2
beginning,2
Thursday,2
citing,2
Sir,2
Winston,2
dawn,2
War.,2
mellowed,2
reflection,2
points,2
Richard,2
Nixon’s,2
credit,2
helping,2
Ronald,2
Reagan,2
business.,2
standard,2
soft,2
chance,2
positioned,2
mature,2
player,2
realized,2
limited,2
leverage,2
inevitably,2
stupid,2
choice.,2
unrealistic,2
establish,2
NATO-style,2
organization,2
target,2
impossible,2
isolate,2
expanding,2
overseas,2
White,2
House,2
Congress,2
mobilize,2
society.,2
Gone,2
plunge,2
interest.,2
face,2
hysterical,2
elites,2
play,2
tai,2
chi,2
wisdom,2
nation.,2
allow,2
unscrupulously,2
Sea,2
Taiwan,2
Straits.,2
way.,2
continue,2
deteriorating,2
that.,2
became,2
mantra,2
blinding,2
speed,2
speech.,2
pronounced,2
confused,2
stinging,2
filled,2
vitriolic,2
ruthless,2
considered,2
decorous.,2
second,2
invoked,2
politicians.,2
theory,2
posits,2
ruling,2
almost,2
usually,2
regret,2
nations,2
unless,2
extraordinary,2
avoid,2
conflict.,2
interpretation,2
responsibility,2
superpower,2
refrain,2
protecting,2
dominance,2
concerned,2
everything,2
possibly,2
ameliorate,2
aging,2
hegemon,2
decided,2
U-turn,2
urging,2
hardliners,2
commence,2
defended,2
ad,2
Des,2
Moines,2
Register,2
widely,2
complaint,2
interference,2
Where,2
U.S.’,2
long-hailed,2
press?,2
newspaper,2
aggressive,2
risibly,2
asked.,2
similar,2
vein,2
portrayed,2
merely,2
U.S.-initiated,2
manipulating,2
stealing,2
decades.,2
concluded,2
beating,2
goose,2
Republican,2
turnout,2
deliberately,2
chose,2
timing,2
China-US,2
ratcheting,2
deliver,2
inflammatory,2
playing,2
card,2
safest,2
option.,2
divert,2
attention,2
incite,2
voters.,2
These,2
unfounded,2
understanding,2
judgment,2
Sino-US,2
unprofessional,2
shallow,2
indiscreet,2
worrying.,2
worsening,2
atmosphere,2
affects,2
public’,2
endangers,2
safety,2
leader,2
accuses,2
justify,2
reputation,2
improve,2
bilateral,2
ties?,2
Perhaps,2
requesting,2
receptive,2
theories,2
appeals,2
xenophobia,2
investigation,2
collusion,2
election.,2
